매장명,주소,구
오벨리스크점,서울특별시 마포구 도화동  555  한화오벨리스크 1층 103,마포구
망원중앙점,서울특별시 마포구 월드컵로 147 1층 (망원동),마포구
홍대청기와점,서울특별시 마포구 월드컵북로 7,마포구
합정LIG점,서울 마포구 합정동  392-3,마포구
상암한샘점,서울 마포구 상암동  1522 1층,마포구
망원역점,서울 마포구 서교동  441-11,마포구
명지대점,서울 서대문구 남가좌동  거북골로 35,서대문구
서대문점,서울 서대문구 냉천동  248 1층,서대문구
신촌기차역점,서울 서대문구 창천동  4-1 1층,서대문구
신촌역점,서울특별시 서대문구 신촌로 87-20 (창천동  ),서대문구
연남동점,서울특별시 서대문구 연희로 42 (연희동) 1층,서대문구
가재울중앙점,서울특별시 서대문구 가재울미래로2 101동 105호,서대문구
홍은사거리점,서울특별시 서대문구 통일로 510(홍은동) 일원 북한산 더샵 단지 내 상가 110호,서대문구
서대문구청점,서울 서대문구 연희로 237 (연희동) 1층,서대문구
연희홍연길점,서울 서대문구 연희동 717-7 1층,서대문구
아현역점,"서울 서대문구 신촌로37길 10 (북아현동, 아현 메디컬) 1층",서대문구
연세의료원의과대학점,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",서대문구
연세의료원ABMRC점,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",서대문구
연세의료원제중관점,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",서대문구
연세의료원종합관점,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)",서대문구
서울간호대점,서울 서대문구 간호대로 8 (홍제동) 이디야커피(서울간호대점),서대문구
우면동점,서울 서초구 바우뫼로 20 1층(우면동),서초구
로얄마리나한강점,서울 서초구 한강남자전거길 2351,서초구
강남역르피에드점,"서울 서초구 서운로 136 108, 109호",서초구
신논현역점,"서울 서초구 서초대로77길 55 (서초동, 에이프로 스퀘어) 101,102호",서초구
삼성금융연수원점,"서울 서초구 사임당로23길 27 (서초동, 서초 금융 캠퍼스) 삼성금융캠퍼스 1층",서초구
국립국악원점,"서울 서초구 남부순환로 2364 (서초동, 국립국악원) 1층",서초구
신사멀버리힐스점,서울 서초구 잠원동 27-2 신사멀버리힐스 104호,서초구
국립중앙도서관디지털관점,서울 서초구 반포동 산 60-1 (국립중앙도서관) 본관 및 디지털도서관,서초구
국립중앙도서관본관점,서울 서초구 반포동 산 60-1 (국립중앙도서관) 본관 및 디지털도서관 1,서초구
강남센트럴시티점,"서울 서초구 신반포로 176 (반포동, 센트럴시티) 1층 104호",서초구
서울고속버스터미널점,"서울 서초구 신반포로 194 (반포동, 강남고속버스터미널) 1,2층 21호",서초구
서초우면중앙점,"서울 서초구 양재대로2길 100-11 (우면동, 서초 리슈빌S) 1층 103,104호",서초구
양재하나로마트점,서울 서초구 청계산로 10 1층,서초구
방배역점,서울 서초구 방배동 910-9,서초구
방배중앙점,서울특별시 서초구 동광로 1 (방배동 대양빌딩),서초구
함지박사거리점,서울특별시 서초구 방배로 234 (방배동 우신빌딩 ) 102,서초구
서울교대점,서울 서초구 서초동  1577-11,서초구
예술의전당점,서울특별시 서초구 반포대로 32,서초구
남부터미널점,서울 서초구 서초동  1444-2,서초구
양재중앙점,서울 서초구 양재동  23 111호,서초구
반포지하상가점,서울 서초구 신반포로 지하 200 도로지하 G-032호,서초구
내방역점,서울 서초구 방배동  898-1,서초구
교대역점,서울 서초구 서초동  1669-15,서초구
서초점,서울 서초구 서초3동  서초대로48길 16      (1555-17번지) 1층,서초구
양재점,서울 서초구 남부순환로347길 38  1층,서초구
잠원논현점,서울 서초구 잠원동  38-26,서초구
성수아카데미점,서울 성동구 성수동2가  277-17성수아카데미타워,성동구
왕십리역점,서울 성동구 행당동  287-15,성동구
옥수동점,서울 성동구 옥수동  매봉길 12,성동구
성수우리W타워점,"서울 성동구 아차산로15길 19 1층(성수동2가, 우리W타워)",성동구
마장동점,서울 성동구 마장동  478-38,성동구
신금호역점,서울특별시 성동구 금호산길 64 (금호동2가),성동구
마장역점,서울특별시 성동구 마장로 293-1,성동구
상왕십리역점,서울특별시 성동구 무학봉15길 27 1층(하왕십리동),성동구
왕십리센트라스점,서울 성동구 무학로 22 1층,성동구
텐즈힐점,"서울 성동구 무학로 33 153동 102호(하왕십리동, 텐즈힐)",성동구
왕십리비트플렉스점,서울 성동구 왕십리광장로 17 지상2층,성동구
답십리로데오점,서울 성동구 용답중앙15길 8 (용답동) 1층,성동구
한양대생활과학관점,"서울 성동구 왕십리로 222 (사근동, 한양대학교) 서울캠퍼스(생활과학관 7층)",성동구
서울숲리버포레점,"서울 성동구 왕십리로 137 (성수동1가, 서울숲아이파크리버포레)",성동구
성신여대점,서울 성북구 동선동2가  305번지,성북구
동덕여대점,서울 성북구 장월로1길 60,성북구
고대타이거프라자점,"서울 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스) 2층",성북구
안암래미안점,서울 성북구 안암동1가 190 1층 이디야커피,성북구
장위뉴타운점,서울 성북구 장월로 144-1 (장위동) 1층,성북구
성신여대역점,서울 성북구 동소문로17길 40 (동소문동6가) 1층,성북구
석관동점,"서울 성북구 돌곶이로8길 22 (석관동, 래미안아트리치) 301동 1층 109호",성북구
하월곡동점,서울특별시 성북구 오패산로 16 1층 (하월곡동),성북구
보문역점,서울특별시 성북구 보문로 111,성북구
장위동점,"서울 성북구 월계로40길 7 104호(장위동,센트럴타운)",성북구
한성대점,서울 성북구 삼선교로10길 45 1층,성북구
정릉중앙점,서울 성북구 정릉2동  161-17,성북구
고대개운점,서울 성북구 안암동5가  15-57번지,성북구
석계중앙점,서울 성북구 석관동  168-2,성북구
돌곶이역점,서울 성북구 석관동  246-10,성북구
길음뉴타운점,서울특별시 성북구 길음로 74-0 (길음동 길음뉴타운 ) 길음뉴타운상가 102,성북구
종암동점,서울 성북구 종암동  87-4,성북구
월곡1동점,서울 성북구 하월곡동  79-19,성북구
고대점,서울 성북구 안암동5가  103-101,성북구
송파위례점,"서울 송파구 위례광장로 188 135호, 136호",송파구
서울한방병원점,"서울 송파구 법원로11길 32 (문정동, 혜화복합시설) 이디야커피(서울한방병원점)",송파구
삼전중앙점,서울 송파구 삼전동 100-5,송파구
서울삼성내과점,"서울 송파구 백제고분로 126 (잠실동, 오룡빌딩) 1층 103호, 104호",송파구
위례포레샤인점,"서울 송파구 위례순환로 477 (장지동, 위례포레샤인23단지) 근린생활시설2동 1층 101호, 102호",송파구
송파올림픽훼미리타운점,"서울 송파구 중대로 24 (문정동, 올림픽훼밀리타운) 상가동 1층 120호, 121호",송파구
송파문정점,서울 송파구 송이로 159 (가락동) 1층 101호,송파구
방이초교점,서울 송파구 가락로 280 (방이동) 1층 102호,송파구
송파풍납점,서울특별시 송파구 강동대로9길 17-1 1층,송파구
석촌백제점,서울 송파구 석촌동  백제고분로39길 15 (삼경빌딩) 1층 101호,송파구
올림픽공원점,서울 송파구 방이동 35-4 아이스페이스잠실2 105,송파구
가락중앙점,서울 송파구 송이로 87 1층(가락동),송파구
오금중앙점,서울 송파구 위례성대로22길 18 1층(오금동),송파구
가든파이브테크노관점,"서울 송파구 충민로 66 (문정동, 가든파이브라이프) T-3143호",송파구
가락몰점,서울특별시 송파구 양재대로 932,송파구
잠실본동점,서울특별시 송파구 백제고분로 172 (잠실동) 1층,송파구
방이역점,서울 송파구 방이동  208-6,송파구
잠실역점,서울 송파구 잠실동  27,송파구
거여점,서울 송파구 거여동 26-2 1층,송파구
목동파라곤점,서울 양천구 목동 917 목동파라곤 지하1층,양천구
신정네거리역점,서울 양천구 신정동  972-4,양천구
목3동점,서울 양천구 목동중앙북로 38 목동롯데캐슬위너아파트 상가동 125호,양천구
오목교대학학원점,서울 양천구 목동  오목로319,양천구
양천구청점,"서울특별시 양천구 신정동  323-16 대영프라자   대영프라자103,104호",양천구
목동신목점,서울특별시 양천구 목동중앙로 85,양천구
강서초교점,"서울특별시 양천구 오목로 48 신월동, 지상1층",양천구
신정서부점,서울 양천구 신정로11길 50-15 1층 내(신정동),양천구
목동센트럴아이파크위브점,서울 양천구 남부순환로 603 (신월동) 1층,양천구
남부지방법원점,서울 양천구 은행정로4길 25,양천구
영등포점,"서울 영등포구 영중로 16-1 (영등포동3가) 1층,2층(영등포동3가)",영등포구
당산버드나루점,서울 영등포구 버드나루로 87 (영등포동7가) 1층 102호,영등포구
영등포홈플러스점,"서울 영등포구 당산로 42 (문래동3가, 홈플러스) 2층 x4y4호",영등포구
신길성애병원점,서울 영등포구 여의대방로53길 27 (신길동) 1층,영등포구
국회의사당역점,"서울 영등포구 의사당대로 22 (여의도동, 이룸센터) 1층",영등포구
남부고용센터점,서울 영등포구 양산로 71 (양평동3가) 1층,영등포구
영등포그랜드점,"서울 영등포구 양산로9길 15 (양평동3가, 그랜드타워) 1층 101호",영등포구
대림1동점,서울 영등포구 도림로 198 (대림동) 1층,영등포구
영등포KNK점,"서울 영등포구 영신로 220 (영등포동8가, KnK디지털타워) 1층 105호",영등포구
신길아이파크점,서울 영등포구 도림로 280 1층(신길동),영등포구
서여의도점,서울 영등포구 여의도동 14-3 (아이비피아빌딩) 아이비피아 1F,영등포구
영등포코레일점,"서울 영등포구 경인로 846 (영등포동, 영등포 민자역사) 영등포역 지하1층",영등포구
IFC몰점,"서울 영등포구 국제금융로 10 (여의도동, 서울 국제금융 센터) IFC몰 L3",영등포구
문래에이스점,"서울 영등포구 선유로13길 25 (문래동6가, 에이스하이테크시티2) 1층 112호",영등포구
영등포당산엘르점,서울 영등포구 당산동1가 21 .,영등포구
국회대로점,서울 영등포구 국회대로 638,영등포구
신길쉔코리아점,서울 영등포구 도신로 204,영등포구
보라매역점,서울 영등포구 신길동  501,영등포구
당산역점,서울 영등포구 당산동5가 11-33 당산디오빌 1층,영등포구
라이프점,서울 영등포구 여의도동  61-3,영등포구
대림역점,서울 영등포구 대림동  1052-45번지 1층,영등포구
여의도농협재단점,서울 영등포구 여의도동 농협문화복지재단 중1층 이디야커피,영등포구
선유도역점,서울 영등포구 양평동5가  57-1,영등포구
영등포시장점,서울 영등포구 영등포로35길 19 (영등포동6가) 1층,영등포구
