매점명,주소
부산동래점,"부산 동래구 명륜로129번길 36 (명륜동) 1,2층 더벤티 부산동래점"
역곡북부역점,경기 부천시 원미구 부일로 748 (역곡동) 1층 101
동인칸타빌점,대구 중구 공평로 100 (동인동1가) 나동
대전산성점,대전 중구 보문산로 37 (산성동) 1층
김포풍무역점,경기 김포시 김포대로 699 (풍무동) 드림시티 1층 110호
대구수성1가점,"대구 수성구 수성로75길 16 (수성동1가, 유성푸르나임) 1층 더벤티"
철원문혜리점,강원특별자치도 철원군 갈말읍 두루미로 95-1 (문혜리) 1층
관악행운점,서울 관악구 관악로 200 (봉천동) 101호
대구두류점,대구 달서구 야외음악당로39길 51 (두류동) 1층 더벤티
롯데마트아산터미널점,"충남 아산시 번영로 225 (모종동, 아산시외버스터미널복합시설) 아산시외버스터미널복합시설 1동 지하1층 102호 일부 (롯데마트)"
인천용현유원점,"인천 미추홀구 아암대로29번길 86 (용현동, 백제당빌딩) 102호"
미사중앙점,"경기 하남시 미사강변중앙로 219 (망월동, 레이크힐) 레이크힐 104호"
영도동삼점,부산 영도구 동삼로28번길 14 (동삼동) 1층 더벤티
회현역점,서울 중구 남대문시장8길 26 (남창동) 1층
현대기아로점,경기 화성시 팔탄면 현대기아로 42 (노하리) 1층 더벤티
광주첨단시리단길점,광주 광산구 임방울대로826번길 19-23 (쌍암동) 1층
인천주안역점,"인천 미추홀구 주안로 112 (주안동, 대동빌딩) 1층 더벤티 인천주안역점"
검단현해점,"인천 서구 고산후로 285 (불로동, 현해타워2) B10호"
제주노형이편한세상점,제주특별자치도 제주시 수덕로 69 (노형동) 1층
순천연향3지구점,"전남 순천시 팔마4길 26 (연향동, 핸디빌) 핸디빌 1층 더벤티 순천연향3지구점"
여수미평공원점,전남 여수시 둔덕2길 6-4 (미평동) 1층
창원법원점,경남 창원시 성산구 사파동 124-13 1층
여수유월드점,전남 여수시 소라면 안심산길 155 (죽림리) 1층
포항대송점,경북 포항시 남구 대송면 제내길 37 (제내리) 1층
안산반달섬점,경기 안산시 단원구 엠티브이17로 6 (성곡동) 104호
구미도량주공점,경북 구미시 송동로 149 (도량동) 1층
전주송천뜨란채점,전북특별자치도 전주시 덕진구 송천동2가 241-1 1층
포항펜타시티점,"경북 포항시 북구 흥해읍 펜타시티단지로 61 (대련리, 포항펜타시티 대방엘리움 퍼스티지I) B207호"
대구성광우방점,"대구 북구 호암로 20 (칠성동2가, 성광우방타운) 상가 102호, 103호"
신검단중앙역점,"인천 서구 금정로 12 (불로동, 신검단중앙역풍경채어바니티) 상가동 125호"
면목2동점,"서울 중랑구 봉우재로14길 31 (면목동, 삼영빌딩) 1층"
일산국립암센터점,경기 고양시 일산동구 일산로316번길 5-10 (마두동) 1층
청주터미널점,"충북 청주시 흥덕구 풍산로 18 (가경동, 터미널타워) 1층"
양주고읍점,경기 양주시 고읍남로 10 (광사동) 105호
대전한남대점,대전 대덕구 한남로 26 (오정동) 1층
대전은행점,대전 중구 중앙로164번길 35 (은행동) 1층
대구만촌3동점,대구 수성구 교학로 14 (만촌동) 1층
부천작동점,경기 부천시 오정구 삼작로 481 (작동) 1층
을지로4가역점,서울 중구 을지로 186 (을지로4가) 1층
안산역점,경기 안산시 단원구 중앙대로 455 (원곡동) 1층
경산하양대가대점,경상북도 경산시 하양읍 하양로 42 1층
롯데마트광복점,부산 중구 중앙동7가 20-1 1층
여수봉계점,전남 여수시 봉계동 33-51 1층
충북대점,충북 청주시 서원구 내수동로102번길 42 (사창동) 1층
천안삼룡스크린골프점,충남 천안시 동남구 삼룡4길 58-4 (삼룡동) 1층
종로공평점,"서울 종로구 삼봉로 95 (견지동, 종로1가 대성 스카이렉스)  종로1가 대성스카이렉스"
남양주연평리점,경기 남양주시 진접읍 양진로 956 (연평리) 106호
용인고진역힐스점,"경기 용인시 처인구 고림로162번길 15 (고림동, 힐스테이트 용인 고진역 1단지) 103-1호"
이대점,서울 서대문구 이화여대길 68 (대현동) 1층
마석원병원점,경기 남양주시 화도읍 경춘로 1943 (창현리) 1층
구미강동점,경북 구미시 진평동 120-1 1층
대구금호점,대구 북구 내곡로 36 (사수동) 1층
수원송죽점,"경기 수원시 장안구 송원로 39 (송죽동, 월드타워) 113호"
광주산정점,광주 광산구 월곡산정로 7-1 (산정동) 1층
목포대성점,전남 목포시 산정동 1787-32 1층
전북도청점,전북특별자치도 전주시 완산구 효자동2가 1155-10 101호
하남시청역점,"경기 하남시 하남대로 830-1 (덕풍동, 더샵하남에디피스) 103호"
대구달서구청점,대구 달서구 월성동 275-2 건도빌딩 105호
강릉동인병원점,강원특별자치도 강릉시 강릉대로419번길 23 (포남동) 1층
