매점명,주소
의정부센트럴자이점,경기 의정부시 경의로118번길 44 (의정부동) 1층
공주신관점,충남 공주시 흑수골길 37 (신관동) 1층 102호
전북정읍사점,전북 정읍시 정읍사로 580 (시기동) 1층
남양주묵현점,경기 남양주시 화도읍 먹갓로28번길 5 (묵현리) 1층
강원횡성점,강원 횡성군 횡성읍 한우로 279-1 (읍하리) 1층 2호
대구신서혁신도시점,"대구 동구 이노밸리로 322 (신서동, 대구혁신도시 비젼스퀘어2) 138호"
의정부서해점,"경기 의정부시 동일로466번길 27 (신곡동, 초원빌라) 지상1층 101호"
NC대전유성점,대전 유성구 봉명동 549-11 NC대전유성점 10F
이천증포점,"경기 이천시 이섭대천로 1411 (증포동, 흥인프라자) 1층 107호"
창원용호롯데점,경남 창원시 성산구 용호동 63 롯데종합상가 1층
다산지금지구점,"경기 남양주시 다산지금로 140 (다산동, 다산지금지구 근생7-5) 주건축물제1동 1층 105호"
구미황상점,경북 구미시 검성로 88 (황상동)
부평더샵점,"인천 부평구 열우물로 90 (십정동, 더샵부평센트럴시티) 상가동 F동 101호"
상계불암점,"서울 노원구 덕릉로 725 (중계동, 보경속셈학원) 105호"
구의사거리점,서울 광진구 자양로 205 (구의동) 1층
인천대성베르힐점,인천 서구 새오개로111번안길 32 (신현동) 1층 104호
사하역점,"부산 사하구 낙동대로 280 (괴정동, 사하역 비스타 동원) 1층"
여수국동서희스타힐스점,전남 여수시 신월로 681 (국동) 1층
광주첨단2지구점,광주 북구 첨단연신로107번길 21 (신용동) 104호
창원토월점,"경남 창원시 성산구 동산로 122 (상남동, 스카이웰빙파크) 1층 110-1호"
김포사우점,경기 김포시 사우중로 88 (사우동) 1층 105호
대구서재점,대구 달성군 다사읍 서재로 128 (서재리) 1층
여수서시장점,전남 여수시 좌수영로 9 (서교동)
가평현리점,경기 가평군 조종면 현창로 28-5 (현리) 1층
의정부산들마을점,경기 의정부시 용현로 144 (민락동) 지상 1층 102호
울산남목점,울산 동구 동해안로 3 (서부동)
경산펜타힐즈점,경북 경산시 중산동 637 113호
광주소촌점,광주 광산구 소촌로152번길 30 (소촌동) 상가동 1층
대구동서변점,대구 북구 서변로 55-1 (서변동) 1층
송도푸르지오시티점,"인천 연수구 아트센터대로 203 (송도동, 송도 센트럴파크 푸르지오시티) 151일부호"
동탄영천파크점,"경기 화성시 동탄대로24가길 7 (영천동, 동탄 파크 푸르지오) 1층 107호"
분당양지마을점,"경기 성남시 분당구 내정로173번길 49 (수내동, 궁전프라자-3) 1층 113호"
신갈롯데점,"경기 용인시 기흥구 중부대로 375 (신갈동, 기흥역롯데캐슬스카이) 1층 3호"
문정점,"서울 송파구 법원로11길 11 (문정동, 문정현대지식산업센터1-1) A동 105호"
광주진월한신점,"광주 남구 광복마을길 43 (진월동, 한신2차아파트) 상가동 103호"
광주본촌점,광주 북구 하서로 477 (본촌동) 1층 107호
군산소룡점,전북 군산시 공항로 90 (소룡동) 1층 101호
녹양힐스테이트점,경기 의정부시 녹양로 64 (녹양동) 102호
전주시외버스터미널점,전북 전주시 덕진구 금암동 705-14 더벤티 전주시외버스터미널점
소태점,광주 동구 지원로 4 (소태동) 1층
전주태평진북점,전북 전주시 완산구 공북로 18 (태평동) 1층
광주상무지구점,"광주 서구 상무중앙로78번길 5-6 (치평동, 영효빌딩) 영효빌딩 1층 102호"
수영역점,"부산 수영구 수영로 669 (광안동, 신세계메디컬센터) 1층 102호"
전주한들초점,전북 전주시 완산구 화산천변로 24 (중화산동2가) 1층 106호
전주대점,전북 전주시 완산구 백마산길 11 (효자동3가) 1층 일부층
부천보람마을점,"경기 부천시 석천로 105 (중동, 보람마을) 상가동 101호"
오남역점,경기 남양주시 오남읍 진건오남로 915 (양지리) 하나빌딩 110호
대구두산점,"대구 수성구 청수로26길 36 (두산동, 한성스퀘어) 1층 113호"
서산호수공원점,충남 서산시 호수공원5로 35 (예천동) 1층 101호
공항시장역점,서울 강서구 공항대로3길 38 (공항동) 가동 1층 103호
김포마송점,경기 김포시 통진읍 김포대로 2231 (마송리) 103호
진접서희스타힐스점,경기 남양주시 진접읍 부평리 703-1 일원 서희스타힐스상가1동 B106호
석남역점,인천 서구 길주로 79 (석남동) 106호
서구가정점,"인천 서구 청중로 486 (가정동, 부일프라자) 부일프라자 제1층 104호"
의정부발곡역점,경기 의정부시 장암동 20-14 발곡프라자 103호
울산남창사거리점,울산 울주군 온양읍 남창강변로 17 (운화리) 1층
군산비응도점,전북 군산시 비응도동 83-7
강릉내곡점,강원 강릉시 내곡동 422-9 101호
여수미평점,"전남 여수시 대학로 48 (미평동, 선경1차상가) 상가동 106호"
익산원광대점,전북 익산시 신동 787-1 1층
안양박달점,경기 안양시 만안구 박달로 475 (박달동) 102호
인천신현점,"인천 서구 가정로 387 (신현동, 루원이편한세상하늘채) 상가 가동 210호"
남양주장현점,경기 남양주시 진접읍 장현로 61 (장현리) 1층 일부
동탄영천점,경기 화성시 동탄순환대로 690 (영천동) 애플 스퀘어 1층 105호
장림본동점,부산 사하구 다대로277번길 3 (장림동)
문흥대주점,광주 북구 면앙로121번길 81 (문흥동) 1층
전주평화점,전북 전주시 완산구 소대배기로 11 (평화동2가) 1층
인천불로점,인천 서구 검단로768번1길 11-6 (불로동) 1층 101호
명일역점,서울 강동구 명일동 312-94 1층
광주신창호반점,"광주 광산구 신창로161번길 19 (신창동, 신창3차호반베르디움) 상가동 1층 110호"
경산하양점,경북 경산시 하양읍 서사도리7로 21 (서사리) 107호(SG타워)
경산사동점,경북 경산시 사동 38 부영아파트 6차 앞 대백마트 건물
여주터미널점,경기 여주시 세종로 80 (홍문동)
광주첨단점,"광주 광산구 임방울대로800번길 71 (월계동, 아크레타 첨단) 101호"
제주원노형점,"제주특별자치도 제주시 원노형로 35 (노형동, 송우수자인아파트) 상가동 105호"
4공단산업단지점,경북 구미시 산동읍 첨단기업1로 18 (봉산리) 1층
망월사역점,"경기 의정부시 평화로 196 (호원동, 신일엘리시움) 1층 113호"
순천NC점,전남 순천시 비봉2길 11 (조례동) 2층
대구수목원점,대구 달서구 한실로6길 120 (대곡동) 1층 107호
인천서구청점,"인천 서구 탁옥로 37 (심곡동, 우리타워) 1층 104호"
전주여고점,전북 전주시 덕진구 모래내6길 12 (인후동2가) 1층
김천산업단지점,경북 김천시 어모면 산업단지1로 2 (남산리) 더벤티 김천산업단지점
부평마이빌점,"인천 부평구 부평대로 102 (부평동, 부평 대우마이빌) 108호"
인천석남사거리점,인천 서구 가정로151번길 4 (가좌동) 103동 103호
여수무선점,전남 여수시 화산로 92 (화장동)
동탄역예미지점,"경기 화성시 동탄역로 196 (오산동, 동탄역 예미지 시그너스) 판매시설동 1층 L1-128호"
화성남양점,"경기 화성시 남양읍 남양천로 17 (남양리, 화성남양시티프라디움3차아파트) 상가1동 105호"
대구동구청점,대구 동구 아양로 204 (효목동) 1층
서귀포오일시장점,제주특별자치도 서귀포시 중산간동로 7917 (동홍동) 더벤티 서귀포오일시장점
전북부안점,전북 부안군 부안읍 오정2길 42 (봉덕리) 1층
목포남악점,전남 목포시 남악1로16번길 50 (옥암동) 105호
여수해양공원점,전남 여수시 이순신광장로 159 (중앙동) 112-2호 1층
의정부동오마을점,"경기 의정부시 추동로 9 (신곡동, 휴먼시티) 1층 104호"
수원율전점,경기 수원시 장안구 율전동 298-3 운화빌딩 1층
진주이현점,경남 진주시 평거로 288-1 (이현동) 이현동 행정복지센터 인근
중화중앙점,서울 중랑구 동일로 774 (중화동) 1층 102호
다산블루웨일점,"경기 남양주시 다산중앙로19번길 25-23 (다산동, 다산진건 블루웨일 지식산업센터 2차) 1층 R106호"
상대원센터엠점,경기 성남시 중원구 사기막골로62번길 33 (상대원동) 지하2층 RB209호
순천용당점,전남 순천시 용당동 355-1 1층
여수장성점,전남 여수시 소호로 591 (안산동) 1층
호구포역점,"인천 남동구 호구포로 210 (논현동, 세움프라자) 101호"
시흥월곶점,경기 시흥시 월곶중앙로58번길 5-6 (월곶동) 시흥월곶역 블루밍더마크 1층 119호
광주양림점,광주 남구 정율성로 22 (양림동) 1층
광양창덕점,전남 광양시 광양읍 와룡길 17 (용강리) 1층 일부
탑석역점,"경기 의정부시 오목로 29 (용현동, 정은스카이) 지상1층"
대구연경점,대구 동구 동화천로77길 8 (지묘동) 106호 미성프라자
응암오거리점,서울 은평구 응암동 589-37 1층 비호
전주덕진점,전북 전주시 덕진구 사평로 43 (덕진동1가) 1층
광주삼각점,광주 북구 안산로 85 (삼각동) 1층
순천금당점,"전남 순천시 기적의도서관길 35 (연향동, 전주콩나물국밥) 1층"
의정부효자초점,경기 의정부시 부용로 211 (신곡동) 1층 101호
광명소하점,경기 광명시 소하동 1364 1층 115호
인천원당점,"인천 서구 원당대로 860 (당하동, 보람프라자)"
울산전하스위첸점,울산 동구 바드래1길 55 (전하동) 107호
대명계대점,대구 남구 대명동 1892-52 1층
검단아라점,인천 서구 이음1로 389 (원당동) 107호
봉천역점,서울 관악구 봉천동 930-39 1층
부평굴다리점,"인천 부평구 부일로 16 (부평동, 헤르메스아파트 2동) 104호"
광주신창점,"광주 광산구 신창로71번길 17 (신창동, 신창2차남양휴튼) 상가동 1층 107호"
구미임은점,"경북 구미시 왕산로 28-10 (임은동, 구미 임은 삼도뷰엔빌W) 301동 1층 111호"
범골역점,경기 의정부시 호동로 63 (호원동) 1층
익산모현점,전북 익산시 배산로 139 (모현동1가) 1층 104호
수원정자점,경기 수원시 장안구 정자동 888-2 102호
부천괴안점,경기 부천시 괴안동 204-12 102호
광주경안점,"경기 광주시 경안로41번길 6 (경안동, 경기광주역 금호리첸시아) 1층 B107호"
인천갈산점,"인천 부평구 주부토로249번길 17 (갈산동, 부평지웰에스테이트) 114호"
세종나성점,"세종특별자치시 한누리대로 292 (나성동, 행복의아침) 1층 108호"
영덕영해신협점,경북 영덕군 영해면 예주길 86-1 (성내리)
신월사거리점,서울 양천구 신월동 148-4 신월동 리버스타운 102동 101호
양주광적점,경기 양주시 광적면 가래비13길 3 (가납리) 1층
상계사거리점,"서울 노원구 동일로 1379 (상계동, 다모아빌딩) 107호"
여수여천점,"전남 여수시 시청동3길 15 (학동, 죽암빌딩) 죽암빌딩"
송도센트럴파크점,"인천 연수구 센트럴로 194 (송도동, 더샵 센트럴파크2) c동 115호"
해비치리조트점,"제주특별자치도 서귀포시 표선면 민속해안로 577 (표선리, 흑돼지제주정) 1층"
부평시장점,인천 부평구 대정로 28 (부평동) 102호
하남현대지식산업센터점,"경기 하남시 미사대로 540 (덕풍동) 1층 BC01-010호, 현대지식산업센터 한강미사2차"
개봉점,서울 구로구 개봉로 63 (개봉동) 1층 109호
구월아시아드점,"인천 남동구 선수촌로46번길 4 (구월동, 구월드림프라자) 1층 103호"
신정네거리역점,서울 양천구 중앙로 247 (신정동) 1층
송파래미안점,서울 송파구 오금로32길 30 (송파동) 1층 103호
강서구청사거리점,"서울 강서구 화곡로64길 2 (등촌동, 경동미르웰한올림) 1층 101호"
양천구청점,"서울 양천구 목동동로 59 (신정동, 로얄프라자) 로얄프라자 1층 101호"
안산본오점,경기 안산시 상록구 본오동 880-15 103호
송도한라웨스턴파크점,"인천 연수구 아트센터대로168번길 100 (송도동, 한라 웨스턴파크 송도) 120호"
전남영광점,전남 영광군 영광읍 대하길 112 (단주리) 1층
파주야당한빛점,경기 파주시 야당동 1000-4 104호
파주교하점,경기 파주시 동패동 1701 137-1호
킨텍스꿈에그린점,"경기 고양시 일산서구 킨텍스로 240 (대화동, 킨텍스 꿈에그린) 1층 221호"
인천공항화물청사점,"인천 중구 공항동로193번길 116 (운서동, 대한항공운송대리점) 112호"
인천당하점,인천 서구 청마로167번길 4 (당하동) 1층 103호
완정역점,인천 서구 서곶로 837 (당하동) 1층 102호
평택삼성점,"경기 평택시 고덕면 고덕여염9길 22 (여염리, 고덕 헤리움 비즈타워 2차) 101호"
광양중동점,전남 광양시 광장로 105 (중동) 1층
군산미장점,"전북 군산시 미장남로 100 (미장동, 미장대원칸타빌) 1동 103호"
연천역점,경기 연천군 연천읍 연천로 245 (차탄리) 1층
마들역점,"서울 노원구 동일로 1533 (상계동, 백산빌딩) 1층 103호"
전남고흥점,"전남 고흥군 고흥읍 고흥군청로 33 (남계리, 남계메디컬빌딩) 1층 102호"
인천용현점,"인천 미추홀구 토금남로 53 (용현동, 한양아파트) 한양아파트상가 107호"
부산수안점,"부산 동래구 충렬대로238번길 7 (수안동, 성완세띠앙) 상가동 113호"
마산어시장점,경남 창원시 마산합포구 동서동2길 49 (신포동2가) 마산어시장 인근
김해상동점,경남 김해시 상동면 상동로 563 (대감리) 1층
경북성주점,경북 성주군 성주읍 성주로 3248 (성산리) 1층
진주소호점,"경남 진주시 소호로19번길 11 (충무공동, 진주혁신도시 중흥에스-클래스 더프라임) 중흥 S클래스상가 B동 105호"
부천U1점,경기 부천시 조마루로385번길 92 (원미동) 124호
전북대점,전북 전주시 덕진구 기린대로 466 (덕진동1가) 1층 101호
서귀포올레시장점,"제주특별자치도 서귀포시 중정로91번길 4 (서귀동, 핑크파티) 더벤티 서귀포올레시장점"
영종도더타임점,인천 중구 영종대로196번길 25 (운서동) 110호
전주신일강변점,전북 전주시 완산구 효자천변1길 26-9 (효자동1가) 1층
행신SK점,"경기 고양시 덕양구 행신로 153 (행신동, 미호상가) 미호상가 1층 4호"
하단가락타운점,부산 사하구 동매로 7 (하단동) 1층
천안성성점,"충남 천안시 서북구 성성9로 14 (성성동, 천안레이크타운2차 푸르지오) 501동 1층 104호"
남양주진접점,경기 남양주시 진접읍 해밀예당3로 57 (금곡리) 1층 101호
성대시장점,"서울 동작구 국사봉1길 33 (상도동, 범한빌딩) 1층"
신평배고개점,부산 사하구 신평동 161-175
신방학점,서울 도봉구 방학로 172 (방학동) 1층
전주효자점,전북 전주시 완산구 우전로 212 (효자동2가) 1층
전주송천현대점,전북 전주시 덕진구 솔내로 118 (송천동1가) 1층
원주단구점,"강원 원주시 서원대로 408 (단구동, 광장빌딩) 1층 114호"
회룡역점,"경기 의정부시 외미로 104-12 (호원동, 유타상가) 1층 103-1호"
광주송정점,광주 광산구 송정로 29 (송정동) 1층
항동SKV1점,서울 구로구 부광로 88 (항동) 지하1층 BB015-B호
목포하당점,전남 목포시 부흥로 83 (옥암동) 1층
원흥역푸르지오점,"경기 고양시 덕양구 권율대로 671 (원흥동, 원흥역 푸르지오) 107호"
파주운정점,경기 파주시 동패동 1761-4 동방프라자 104호
인천작전점,인천 계양구 계양대로 41 (작전동)
김해진례점,경남 김해시 진례면 송현로 43 (송정리) 1층
별내파라곤스퀘어점,"경기 남양주시 순화궁로 249 (별내동, 별내역 파라곤스퀘어) 별내파라곤스퀘어 상가1동 C115호"
여수웅천점,전남 여수시 웅천5길 7 (웅천동) 1층
전주에코시티점,"전북 전주시 덕진구 세병로 92 (송천동2가, 에코시티 데시앙 네스트 3블럭) 1층 111호"
부산초량점,"부산 동구 초량중로 114 (초량동, 범양레우스 센트럴베이) 103동 B120호 재부산일본국총영사관 앞"
양산북정점,"경남 양산시 북정3길 1 (북정동, 춘하추동) 1층 일부"
부산가야역점,부산 부산진구 가야대로 645 (가야동) 1층
청라포스코점,"인천 서구 크리스탈로74번길 31 (청라동, 월드프라자) 113호"
철원와수점,"강원 철원군 서면 와수로 174 (와수리, 김화 치과 의원) 1층"
대구침산점,"대구 북구 침산로 153 (침산동, 명성푸르지오) 101동 A6호"
서귀포중문점,제주특별자치도 서귀포시 천제연로 268 (중문동) 101동 1호
포항학천점,경북 포항시 북구 흥해읍 도음로877번길 3 (학천리) 106호
수락산역점,"서울 노원구 동일로 1701 (상계동, 희성오피앙) 1층, 109호"
대구동촌점,"대구 동구 동촌로 100 (검사동, 태왕아너스 르네상스) 401동 1층 105호"
아산테크노밸리점,충남 아산시 둔포면 아산밸리중앙로 82 (석곡리) 1층 107호
송내하이센스빌점,"경기 부천시 부일로205번길 32 (상동, 하이센스빌) 제1층 제108호"
검단호반써밋점,"인천 서구 이음5로 15 (원당동, 검단신도시 호반써밋 이니티움) 검단호반써밋1차 3120동 107호"
중동역남부점,경기 부천시 경인로 72 (송내동) 1층
포항양학점,경북 포항시 북구 양학로 51 (득량동)
광주진월점,광주 남구 금당로 4 (진월동)
광주전대상대점,광주 북구 설죽로214번길 104 (용봉동) 1층
언양서부점,"울산 울주군 언양읍 읍성로 48 (서부리) 2동, 1층"
공덕롯데캐슬점,"서울 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트) 지하층 B123호"
구로항동점,"서울 구로구 서해안로 2108 (항동, 아이온타워2) 1층 105호"
광양마동점,전남 광양시 사동로 176-1 (마동) 1층 101호
전주송천점,전북 전주시 덕진구 두간11길 19 (송천동1가) 1층
인천도화점,"인천 미추홀구 숙골로 102 (도화동, 채움프라자) 1층 106호"
부산감전점,부산 사상구 가야대로12번길 49 (감전동) 1층 103호
목포한국병원점,"전남 목포시 중화길 10-1 (상동) 1,2층"
대구테크노중앙점,대구 달성군 유가읍 테크노상업로4길 12 (봉리) 107호
청주가경점,"충북 청주시 흥덕구 가경로 9-9 (가경동, 그린프라자) 그린프라자 102호"
구남역점,부산 북구 백양대로 1018 (구포동) 더벤티 구남역점
혜화로점,서울 종로구 혜화로 20 (혜화동) 1층
창동역점,서울 도봉구 마들로11길 73 (창동) 1층 101호
시흥배곧한라점,"경기 시흥시 서울대학로 172-20 (정왕동, 한라비발디캠퍼스3차) 상가4동 1층 113 A호"
대화역점,"경기 고양시 일산서구 중앙로 1560 (대화동, 다산스카이빌) 102호"
연수구청점,"인천 연수구 원인재로 124 (동춘동, 한양1차아파트) 108호"
산곡역점,"인천 부평구 길주로364번길 9 (산곡동, 부평 IPARK) 상가동 117호"
익산영등점,전북 익산시 무왕로11길 6-13 (영등동) 104호
전주아중점,전북 전주시 덕진구 석소로 24 (우아동2가) 1층
인천만수로데오점,"인천 남동구 장승남로 61 (만수동, 인일프라자) 1층 103호"
백석더리브점,"경기 고양시 일산동구 중앙로 1079 (백석동, 백석역 더리브 스타일) 백석역더리브스타일 114호"
부평시장역점,인천 부평구 부평대로 69 (부평동) 1층
논현역점,"서울 서초구 신반포로 329 (잠원동, 세기빌딩) 1층 6호"
수원매산점,경기 수원시 팔달구 매산로 46 (매산로2가) 1층
장승배기역점,서울 동작구 상도로 180 (상도동) 1층
충남대점,대전 유성구 궁동로18번길 45 (궁동) 1층
칠곡운암역점,대구 북구 구암로 139 (동천동) 1층
의정부신곡점,"경기 의정부시 발곡로 10 (신곡동, 백상프라자빌딩) 104호"
여수안산점,"전남 여수시 선원4길 3 (선원동, 대양빌딩) 1층 3호"
오산중앙CGV점,경기 오산시 원동로 22 (원동) 르마레시티 1층 140호
포항육거리점,경북 포항시 북구 중앙로 324 (덕산동) 1층
의정부낙양점,경기 의정부시 송양로 29 (낙양동) 104호
녹양역점,"경기 의정부시 체육로 306-32 (녹양동, 키움프라자) 102호"
계산역점,인천 계양구 주부토로 541 (계산동) 1층 113호
울산전하점,울산 동구 진성5길 97 (전하동) 1층 전하 푸르지오 정문 앞
기장교리점,부산 기장군 기장읍 차성로 430 (교리) 106호
일산풍동점,"경기 고양시 일산동구 숲속마을로 22 (풍동, 진넥스 블루오션) 105호"
창원디세븐파크점,경남 창원시 의창구 중동중앙로 83 (중동) 1층 111호
부평산곡점,"인천 부평구 안남로222번길 27 (산곡동, 경남아파트) 상가동 1층 103호"
제주일도점,제주특별자치도 제주시 동광로 87 (일도이동) 1층
산본시장점,경기 군포시 산본동 216-17 1층
송내투나점,경기 부천시 상일로122번길 45 (상동) 107호
울산매곡점,울산 북구 매산로 3 (매곡동) 1동 1층
포항용흥점,경북 포항시 북구 대안길 59 (용흥동) 우방종합상가 105호
신대방삼거리역점,"서울 동작구 상도로 73 (대방동, 보광빌딩) 1층"
연신내점,서울 은평구 연서로29길 20 (갈현동) 1층
마두역점,"경기 고양시 일산동구 강석로 123 (마두동, 뉴삼창마트) 1층 136호"
군산나운롯데점,"전북 군산시 하나운로 43 (나운동, 롯데아파트1,2차상가) 126동 1층 5호"
광주수완장덕점,"광주 광산구 풍영로 294-23 (장덕동, 광주 수완 세영리첼 아파트)"
광주수완점,광주 광산구 장신로147번길 6 (수완동) 1층 103호
마산석전점,경남 창원시 마산회원구 석전동 300 상가 125호
군산산북점,"전북 군산시 동아로 148 (산북동, 서군산농협) 1층 101호"
광주상무치평점,"광주 서구 시청로 7 (치평동, 상무e-다움골드) 1층 102호"
중계은행사거리점,"서울 노원구 한글비석로 264 (중계동, 중계그랜드프라자) 1층 111호"
영주가흥점,경북 영주시 대동로13번길 28-1 (가흥동) 1층
경주황성점,경북 경주시 황성동 503-9 1층
청라더휴점,"인천 서구 청라한내로 40 (청라동, 청라 호수공원 한신더휴) 106호"
풍산역점,"경기 고양시 일산동구 하늘마을1로 2 (중산동, 풍산프라자) 108호"
동탄힐스테이트점,"경기 화성시 동탄기흥로 585 (영천동, 힐스테이트 동탄역) 109호"
김포지식산업센터점,경기 김포시 태장로 741 (장기동) 경동미르웰시티 1층 129호
구미형곡중앙점,"경북 구미시 형곡로 150 (형곡동, 두산빌라) 1층 102호"
장림역스마트점,"부산 사하구 장림번영로104번길 10 (장림동, 사하장림역스마트W아파트) 1층 108호"
평택모곡점,경기 평택시 산단로 58 (모곡동) A동 1층
경남하동점,경남 하동군 진교면 경충로 1051 (진교리) 3호
청학사거리점,강원 속초시 수복로 135-1 (청학동) 1층
인천서운산업단지점,"인천 계양구 서운산단로 29 (서운동, 서운센트럴플라츠) 1층 106호"
남원세무서점,전북 남원시 동림로 91 (향교동) 1층 102호
부평부흥점,"인천 부평구 장제로 162 (부평동, MV아파트) 상가동 1층 4호"
상현역점,"경기 용인시 수지구 광교중앙로 315 (상현동, 광교 티타워) 106호"
김해율하점,경남 김해시 관동동 1125-4 1층
마포프레스티지자이점,서울 마포구 대흥로24길 24 (염리동) 마포프레스티지자이 A동 110호
구미들성점,"경북 구미시 고아읍 들성로 171 (원호리, 구미고아세영리첼레이크뷰) 301동 1층 108호"
부천벚꽃마을점,경기 부천시 상일로 14-5 (상동) 1층 2호
북가좌점,"서울 서대문구 응암로 79 (북가좌동, 문화빌딩) 108호"
길동점,서울 강동구 길동 363-10 1층
김천덕곡점,경북 김천시 한마음길 2 (덕곡동) 1층
부산송도해변점,부산 서구 송도해변로 85 (암남동) 1층
온산덕신점,울산 울주군 온산읍 덕망로 72 (덕신리) 1층
목동사거리점,서울 강서구 곰달래로 271 (화곡동) 1층 더벤티 목동사거리점
서산예천점,충남 서산시 예천7로 4-10 (예천동) 1층
안산신길점,"경기 안산시 단원구 중앙대로 421 (신길동, 모리아 오피스텔) 115호"
전주중화산점,전북 전주시 완산구 중화산로 89 (중화산동2가) 중화산동 2가
도봉점,"서울 도봉구 도봉로180길 28 (도봉동, 도봉투웨니퍼스트2단지) 201동 1층 101호"
제주삼화점,제주특별자치도 제주시 건주로4길 6-8 (도련일동) 104호
하나로마트분평점,"충북 청주시 서원구 분평로 26 (분평동, 호인센트럴존스포츠센타) 1층"
군산수송제일점,전북 군산시 수송동 805-1 102호
마산진동점,"경남 창원시 마산합포구 진동면 진북산업로 55 (진동리, 마산 진동 협성엠파이어) 401동 1층 102호"
월영애시앙점,경남 창원시 마산합포구 월영동 738 마린애시앙부영 3동 상가 105호
서정마을점,"경기 고양시 덕양구 중앙로 440 (행신동, 센타프라자) 1층 102호"
여수문수점,전남 여수시 여문2로 81 (문수동) 1층
과천위버필드점,경기 과천시 별양상가2로 35 (별양동) 1층 105호
광양서천점,"전남 광양시 광양읍 서북2길 11 (칠성리, 상아아파트) 상가2동 202호"
월곡사거리점,서울 성북구 월계로 46 (하월곡동) 1층
창원대방성원점,"경남 창원시 성산구 대암로 110 (대방동, 성원남산3차아파트) 경동프라자 1층 101호"
문래점,"서울 영등포구 선유로 76 (문래동3가, 동국메뜨리앙) 103호"
울산진장점,울산 북구 진장유통로 4 (진장동) 지상 1층
민락코스트코점,경기 의정부시 용민로 493 (민락동) 엘스퀘어 118호
군산나운점,"전북 군산시 의료원로 141 (나운동, 영창아파트상가2동) 110호"
고양동산점,경기 고양시 덕양구 동세로 19 (동산동) 102호
진주시청점,"경남 진주시 도동천로 48 (상평동, 진주센트럴자이) 상가동 105호"
개화산역점,서울 강서구 방화동 904 신마곡벽산블루밍상가 105동 106호
여수엑스포점,전남 여수시 덕충안길 88 (덕충동) 1층 104
인천백운역점,인천 부평구 마장로 76 (십정동) 1층
노원KT점,"서울 노원구 동일로218길 41 (상계동, 영보빌딩) 1층 102호"
대구신월성점,대구 달서구 월성동 1812 더벤티 대구신월성점
창원명곡점,경남 창원시 의창구 봉곡동 39-5 더벤티 창원명곡점
포항두산위브점,경북 포항시 북구 장성동 1612  124동 103호 더벤티 포항두산위브점
충주칠금점,충북 충주시 칠금동 608 더벤티 충주칠금점
익산부송점,"전북 익산시 부송1로 86 (부송동, 씨에프랑스) 더벤티 익산부송점"
울산성남점,울산 중구 성남동 219-13  1층 더벤티 울산성남점
일산후곡점,경기 고양시 일산서구 일산동 1079-5 더벤티 일산후곡점
용인중앙시장점,경기 용인시 처인구 김량장동 133-85 1층 더벤티 용인중앙시장점
구미남통점,경북 구미시 원평동 78-1 1층 더벤티 구미남통점
마산회원이편한점,경남 창원시 회원구 회원남로65  220동(상가동)111호  더벤티 마산회원이편한점
울산방어점,울산 동구 화문로 64 (방어동) 더벤티 울산방어점
송도더테라스점,"인천 연수구 센트럴로 415 (송도동, 힐스테이트 송도 더테라스) 판매시설S동 162호 더벤티 송도더테라스점"
제주노형점,제주특별자치도 제주시 월랑로 5 (노형동) 1층 더벤티 제주노형점
다대자유점,부산 사하구 다대로 613 (다대동) 다대자유마트 128호 더벤티 다대자유점
마산호계점,경남 창원시 마산회원구 내서읍 호계리 72-1 111호 더벤티 마산호계점
평내호평역점,"경기 남양주시 늘을2로14번길 5 (호평동, 샤르망메디칼프라자) 1층 더벤티 평내호평역점"
경주산대점,경북 경주시 안강읍 구부랑3길 14-10 (산대리) 더벤티 경주산대점
창원드림타운점,경남 창원시 의창구 차룡로48번길 66 (팔용동) 더벤티 창원드림타운점
인하대헤리움점,"인천 미추홀구 용정공원로83번길 49 (용현동, 인하대역 헤리움 메트로 타워) 1층, 142호 더벤티 인하대해리움점"
구미신평점,경북 구미시 신비로 4 (신평동) 더벤티 구미신평점
울산동문점,"울산 울주군 삼남면 울산역로 274 (교동리, 울산역 신도시 동문굿모닝힐) 301동 1층 103호 더벤티 울산동문점"
인천간석시장점,인천 남동구 용천로 167 (간석동) 더벤티 인천간석시장점
구미형곡점,경북 구미시 신시로 55 (형곡동) 더벤티 구미형곡점
광주양산점,"광주 북구 하서로 415 (용두동), 1층"
수원SKV1모터스점,경기 수원시 권선구 평동로79번길 45 (평동) 수원SKV1모터스 1층
옥정호수공원점,경기 양주시 옥정동 1036-4 114호
월영점,"경남 창원시 마산합포구 월영마을로 14 (월영동, 현대상가) 103호"
한국해양대점,"부산 영도구 태종로 727 (동삼동, 한국해양대학교) 해양과학기술대학관"
울산중산점,"울산 북구 중산동 1282-5, 106호"
원주태장점,강원 원주시 북원로 2704-4 (태장동)
모슬포점,제주특별자치도 서귀포시 대정읍 상모대서로 6 (상모리)  1층
송도마리나베이점,"인천 연수구 랜드마크로 160 (송도동, 더샵 송도 마리나베이) 109호"
송도랜드마크시티점,"인천 연수구 랜드마크로 68 (송도동, 랜드마크시티센트럴더샵) 상가 1층 58호"
사천정동점,경남 사천시 정동면 진삼로 1392-11 (고읍리)
가산테라타워점,서울 금천구 디지털로10길 78 (가산동) 106호
상주시청점,경상북도 상주시 상산로 242 (남성동)
파주봉일천점,"경기 파주시 조리읍 통일로 320 (봉일천리, 그랜드약국)"
