지점명,주소
구파발역점,"서울 은평구 진관3로 21  (진관동, 은평뉴타운엘크루) 엘크루오피스텔 103호"
전남 영광점,전남 영광군 영광읍 천년로12길 23  (신하리)
목포 하당점,전남 목포시 백년대로297번길 3-1  (상동)
안산 한대역점,"경기 안산시 상록구 광덕1로 355  (이동, 데코스포텔) (이동, 데코스포텔) 1층"
안산 초지점,"경기 안산시 단원구 광덕1로 62  (초지동, 아트프라자) (초지동, 아트프라자) 109호"
남해점,경남 남해군 남해읍 강진만로 1  (입현리) 1층
울산 언양점,울산 울주군 언양읍 헌양길 51  (남부리)
하남 풍산현대지산점,경기 하남시 미사대로 540  (덕풍동) (덕풍동) 현대지산 A-130
한양대점,"서울 성동구 마조로5길 6  (행당동, 새마을금고)"
충남 내포혁신도시점,"충남 홍성군 홍북읍 홍학로 95  (신경리, 아이프라자 2) (신경리, 아이프라자 2) 2차 103호"
수원 정자점,"경기 수원시 장안구 정자천로173번길 11-6  (정자동, 세경프라자) 102호"
한국교원대점,충북 청주시 흥덕구 강내면 탑연리 339
파주 교하점,"경기 파주시 파주로 266  (동패동, 아이비타워)  (동패동, 아이비타워) 102호"
부산 연산점,부산 연제구 반송로 89  (연산동) 1층 4호
진주평거점,경남 진주시 평거로 11  (평거동)
충남 당진점,"충남 당진시 대덕1로 125-26  (대덕동, 대광빌)"
남양주 마석점,"경기 남양주시 화도읍 경춘보학1길 8  (녹촌리, 남양주 라온프라이빗 5단지) (녹촌리, 남양주 라온프라이빗 5단지) 107호"
안성공도점,"경기 안성시 공도읍 공도4로 3  (만정리, 우성메디컬프라자)  (만정리, 우성메디컬프라자) M1층 113호, 114호"
동해 북삼점,강원 동해시 동회동 66-15
녹번역점,서울 은평구 은평로 240  (응암동) 힐스테이트 녹번역 상가 304호
호평점,"경기 남양주시 늘을2로 20  (호평동, CH리베로빌딩) (호평동, CH리베로빌딩) 115호"
인천 미추홀점,인천 미추홀구 용현동 665-19
인천 신현점,"인천 서구 가정로 375  (신현동, 금강아미움) 106호"
부평 중앙점,인천 부평구 경원대로 1420  (부평동)
김해삼계점,경남 김해시 해반천로130번길 31  (삼계동)
거여역점,서울특별시 송파구 오금로 519  (거여동) 스위트빌딩 202호
인천 부개역점,인천 부평구 부개동 301-10
목포 산정점,전남 목포시 산정로 37  (산정동) 1층(산정동)
민락에스클래스점,"경기 의정부시 오목로 196  (민락동, 민락2지구 제일풍경채 센텀-애비뉴모나코) 1층 55호"
포항 장성점,경북 포항시 북구 성실로 70  (장성동)
문정 래미안점,"서울 송파구 문정로 83  (문정동, 문정래미안아파트) 상가동 129호-1"
부평 산곡점,인천 부평구 산곡동 412-4
대치점,서울 강남구 선릉로64길 28  (대치동)
라페스타점,"경기 고양시 일산동구 중앙로 1305-56  (장항동, 라페스타D)  D동 126호"
킨텍스원시티점,"경기 고양시 일산동구 태극로 8  (장항동, 킨텍스원시티 1블럭)"
파주 문산점,경기 파주시 문산읍 방촌로 1719-74  (당동리) 좋은빌딩 1층
포천 송우점,경기 포천시 소흘읍 송우리 123
신림역점,서울 관악구 신원로 39  (신림동) 1층
학동역점,"서울 강남구 학동로 208  (논현동, 용문빌딩)"
야탑역점,"경기 성남시 분당구 야탑로65번길 8  (야탑동, 나인투빌딩) (야탑동, 나인투빌딩) 1층 103호"
강동역점,"서울 강동구 천호대로 1092  (성내동, 에스케이허브진) 110호"
창원상남점,"경남 창원시 성산구 마디미로56번길 7  (상남동, 레알주차장빌딩) (상남동, 레알주차장빌딩) 110호"
안산 월피점,경기 안산시 상록구 월피동 508-1
부천 시청점,"경기 부천시 석천로169번길 22  (중동, 현대센트럴파크) (중동, 현대센트럴파크)"
제주 이도점,제주특별자치도 제주시 연신로 85  (이도이동)
개금점,부산 부산진구 가야대로 486  (개금동)
동탄 수변공원점,경기 화성시 동탄순환대로29길 56  (영천동)  코스모스스퀘어 1층 105호
부산 덕천점,"부산 북구 금곡대로8번길 87  (덕천동, 덕천역 이즈 카운티) 이즈카운티 107호"
부천 옥길점,경기 부천시 양지로166번길 22  (옥길동)
검암 경서점,인천 서구 검암동 599-2   A동 1층
구리 갈매점,"경기 구리시 경춘북로 252  (갈매동, 갈매역아이파크)  갈매역 아이파크 애비뉴상가 A동 125호"
양주옥정점,경기 양주시 옥정로 226  (옥정동)  1층 108호
인천 석남점,인천 서구 가정로 258  (석남동) 지인프라자 1층
안산 그랑시티자이점,경기 안산시 상록구 사동 1639  그랑시티자이2차아파트 상가 121호
가재울 뉴타운점,"서울 서대문구 거북골로 100  (남가좌동, 래미안 루센티아) 래미안루센티아 상가1호"
동산 마동점,전북 익산시 중앙로33길 1  (마동)
김포 구래점,"경기 김포시 김포한강9로75번길 180  (구래동, 두원타워) (구래동, 두원타워)"
