매장명,주소,지역
평택민자역사,"경기 평택시 평택로 51 (평택동, 평택민자역사) 3층던킨도넛AK플라자",경기
산본역,"경기 군포시 산본로323번길 13 (산본동, 군포상가) 101",경기
안산고잔,"경기 안산시 단원구 광덕대로 151 (고잔동, 삼영타운) 122호",경기
성남태평,"경기 성남시 수정구 성남대로 1254 (태평동, 낙원스카이뷰2)",경기
수원정자,경기 수원시 장안구 대평로 80 (정자동) 정연메이져105호,경기
산본수리,"경기 군포시 고산로 515 (산본동, GS휘트니스클럽빌딩) 107호",경기
수원대,경기 화성시 봉담읍 와우리 62-4,경기
분당아름마을,"경기 성남시 분당구 판교로 446 (이매동, 그린프라자) 102~103호",경기
기흥휴게소,"경기 용인시 기흥구 공세로 173 (공세동, 기흥휴게소)",경기
용인휴게소상행,경기 용인시 처인구 고림동 88-1,경기
용인휴게소하행,경기 용인시 처인구 고림동 12-6,경기
시흥은행,"경기 시흥시 은행로155번길 11 (은행동, 한별프라자)",경기
가천대,"경기 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",경기
용인마북,경기 용인시 기흥구 마북로 152 (마북동),경기
이천터미널,"경기 이천시 이섭대천로 1200 (중리동, 종합버스터미널) 1층",경기
오산세교,"경기 오산시 수청로 188 (금암동, 롯데슈퍼), 롯데슈퍼 110",경기
이천장호원,경기 이천시 장호원읍 샘재로 159 (장호원리) 1층~2층,경기
안산원곡,"경기 안산시 단원구 라성로 43 (원곡동, 벽산블루밍아파트)",경기
영통홈플러스,"경기 수원시 영통구 봉영로 1576 (영통동, 영통홈플러스) 1층",경기
수원하나로,"경기 수원시 권선구 서부로 1937 (구운동, 농협하나로클럽) 1층",경기
서수원이마트,"경기 수원시 권선구 수인로 291 (구운동, 서수원버스터미널) 이마트1층",경기
서울랜드,"경기 과천시 광명로 181 (막계동, 서울랜드)",경기
김포통진,경기 김포시 통진읍 조강로 45 (마송리),경기
가평,경기 가평군 가평읍 보납로 25 (읍내리),경기
포천이마트,경기 포천시 호국로 915 (설운동) 이마트내 1층,경기
양주이마트,"경기 양주시 평화로 1713 (회정동, 이마트) 1층",경기
포천신읍,"경기 포천시 중앙로119번길 2 (신읍동, 한빛빌딩)",경기
의정부중앙,경기 의정부시 평화로 544 (의정부동) 1층,경기
분당서현1호,"경기 성남시 분당구 중앙공원로40번길 4, 121호 (서현동, 현대카스올림픽골프파크)",경기
회룡역,"경기 의정부시 평화로 359 101호 (호원동, 회룡한주아파트상가)",경기
지샘병원,경기 안양시 만안구 안양로 211 301호(안양동),경기
부천상동,"경기 부천시 상동 534-6 비잔티움 상동 112,113호",경기
운정야당,경기 파주시 야당동 1070,경기
남양주별내,"경기 남양주시 별내중앙로 26 (별내동)101호(별내동, 진영N타워1)",경기
화성시청,경기 화성시 남양읍 시청로 121 (남양리)환진빌딩 101호,경기
시흥하늘휴게소,경기 시흥시 서울외곽순환고속도로 106 (조남동) 2층 214호,경기
광주능평,경기 광주시 오포읍 능평로 63 (능평리),경기
분당파크뷰,"경기 성남시 분당구 정자일로 248 (정자동, 파크뷰) 파크뷰상가113",경기
시흥하중,경기 시흥시 하중동 856-3,경기
용인쥬네브,"경기 용인시 기흥구 동백죽전대로 444 (중동, 쥬네브썬월드빌딩)4층 4081, 4082호",경기
파주운정,경기 파주시 청암로17번길 55 (목동동),경기
성남이마트,"경기 성남시 수정구 수정로 201 (태평동, 신세계쉐덴) 1층",경기
수원컨벤션센터,"경기 수원시 영통구 광교중앙로 140 (하동, 수원컨벤션센터) 1층",경기
인덕원역사,"경기 안양시 동안구 흥안대로 지하 529 (관양동, 인덕원역)",경기
구리갈매,"경기 구리시 갈매중앙로 89-10 (갈매동), 송원빌딩 105호",경기
미사역,경기 하남시 미사강변한강로 290 모노라운지 108호,경기
김포마산,"경기 김포시 김포한강8로 167 (마산동), 이루프라자 1층 106호",경기
가평휴게소(상),경기 가평군 설악면 미사리로 544 (미사리),경기
가평휴게소(하),경기 가평군 설악면 미사리로540번길 51 (미사리),경기
용인한숲시티,"경기 용인시 처인구 남사면 한숲로 84 (완장리, e편한세상 용인 한숲시티)",경기
성남하대원,"경기 성남시 중원구 둔촌대로 274 (하대원동, 태연스카이빌)1층 105호",경기
시흥휴게소,경기 시흥시 서울외곽순환고속도로 105 (조남동),경기
평택용죽,경기 평택시 용이동 684-1,경기
수원월드컵,"경기 수원시 팔달구 창룡대로210번길 41 (우만동, 월드컵스포츠센터)",경기
NC고잔,"경기 안산시 단원구 광덕대로 194 (고잔동, 2001아울렛) 스타맥스타워2 1층",경기
죽전역사,경기 용인시 수지구 죽전동 1286,경기
파주임진각,경기 파주시 문산읍 임진각로 148-73 (마정리),경기
광주신현,경기 광주시 오포읍 신현리 699-3 삼승빌딩 1층,경기
광주곤지암,"경기 광주시 곤지암읍 평촌길 36 (삼리, 극동빌딩)",경기
서하남휴게소,경기 하남시 서울외곽순환고속도로 19 (춘궁동) 서하남휴게소,경기
전곡터미널,경기 연천군 전곡읍 온골로 54 (전곡리),경기
수내역,경기 성남시 분당구 백현로101번길 21 (수내동),경기
용인역북,경기 용인시 처인구 명지로60번길 8-14 (역북동),경기
동두천지행,"경기 동두천시 지행로 65 (지행동, 동현빌딩) 101호",경기
동탄제일병원,"경기 화성시 삼성1로 130 (석우동, 세정인디안타워)",경기
부천시청,"경기 부천시 길주로 246 (중동, 부천중동리슈빌엔클래스) 104A호",경기
분당차병원,경기 성남시 분당구 야탑동 351 분당차병원 1층,경기
마장휴게소(하),경기 이천시 마장면 중부고속도로 82 (목리),경기
일산중산,경기 고양시 일산동구 고양대로 762 (중산동),경기
배곧아브뉴프랑,"경기 시흥시 서울대학로278번길 8 (정왕동, 시흥배곧 아브뉴프랑 센트럴 레드)",경기
평택고덕궁리,경기 평택시 고덕면 궁2길 68-1 (궁리),경기
판교테크노밸리,"경기 성남시 분당구 판교로255번길 9-22 (삼평동, 판교 우림 W-CITY)",경기
평택포승,경기 평택시 포승읍 여술로 20 (도곡리),경기
화성삼성전자2호,경기 화성시 삼성전자로 1 (반월동),경기
시흥능곡,"경기 시흥시 승지로59번길 12 (능곡동, 시티타워)",경기
화성삼성전자1호,"경기 화성시 삼성전자로 1 (반월동),(207) 매점-4(반월동)",경기
의정부녹양,경기 의정부시 녹양동 412-8,경기
수지구청,"경기 용인시 수지구 수지로296번길 51-10 (풍덕천동, 정석빌딩)",경기
기흥삼성전자K1,"경기 용인시 기흥구 삼성로 1 (농서동, 삼성전자(주)기흥캠퍼스)",경기
파주문산,"경기 파주시 문산읍 문산로 43 (문산리, 패밀리마트)",경기
의정부고산,경기 의정부시 산곡동 254-1,경기
화성봉담,경기 화성시 봉담읍 동화길 85 (동화리),경기
김포사우,"경기 김포시 돌문로 49 (사우동), 원정빌딩 1층 일부호(사우동)",경기
평택동삭,경기 평택시 상서재로2길 56-10 (동삭동),경기
안양동안,"경기 안양시 동안구 시민대로159번길 25 (비산동, Festa via), 1층",경기
기흥테라타워,"경기 용인시 기흥구 서천로201번길 11 (농서동, 기흥 테라타워 지식산업센터), 기흥테라타워 지하1",경기
김포장기,"경기 김포시 김포한강1로51번길 20 (장기동, 산타마리아),산타마리아상가 111호",경기
삼성미래기술캠퍼스,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)",경기
남양주장현,"경기 남양주시 진접읍 장현로47번길 6-2 (장현리, 우성코아)",경기
안성아양,경기 안성시 아양1길 18 (석정동),경기
안양역,"경기 안양시 만안구 안양로314번길 20 (안양동), 1층(안양동)",경기
포천송우리,경기 포천시 소흘읍 솔모루로 75 (송우리),경기
안양호계,"경기 안양시 동안구 호계동 943-16, 1층 104호",경기
분당효자촌,"경기 성남시 분당구 불정로 381 (서현동, 효자촌동진프라자), 1006,1007호",경기
부천역곡,"경기 부천시 경인로 482 (괴안동, 베르포레아파트), 101-102호",경기
