매장코드,매장명,주소,오픈날짜
1552,국립대구박물관DT,"대구광역시 수성구 황금동 69-3, 64-5",2019-10-16
1221,대구수성네거리DT,대구광역시 수성구 수성동4가 1021-8,2017-06-14
1282,대구중동DT,대구광역시 수성구 중동 316-3,2017-10-18
1156,대구중동네거리DT,대구광역시 수성구 중동 184-4,2016-12-27
1023,대구상동DT,대구광역시 수성구 상동 415-1,2015-12-22
1060,대구황금DT,대구광역시 수성구 지산동 941,2016-04-28
969,대구삼성화재,대구광역시 수성구 범어동 2-1 삼성화재사옥(삼성화재빌딩),2015-09-11
897,대구시지,대구광역시 수성구 신매동 567-43,2015-02-17
704,대구만촌DT,대구광역시 수성구 만촌동 853-3번지,2013-12-16
669,대구수성하이츠,대구광역시 수성구 수성동4가 1090-8 수성하이츠 1층,2013-09-30
209,동아수성,대구광역시 수성구 범물동 1273 동아백화점 1층,2003-09-08
418,수성레이크,대구광역시 수성구 두산동 840-1번지,2011-08-19
544,대구범어제니스,대구광역시 수성구 범어동 179번지 두산위브더제니스 상가 1층 110호,2012-08-29
1993,대구두산DT,대구광역시 수성구 두산동 728,2022-06-23
1697,대구들안길DT,대구광역시 수성구 상동 47-6,2020-09-10
1790,대구만촌이마트,대구광역시 수성구 만촌동 1356-5 이마트만촌점,2021-04-08
2545,대구알파시티,"대구광역시 수성구 대흥동 877, 877-1",2026-03-30
2423,대구월드컵대로DT,대구광역시 수성구 욱수동 118-1,2025-06-13
2191,대구신매역,대구광역시 수성구 신매동 567-2,2023-11-03
2216,대구범어푸르지오,대구광역시 수성구 범어동 2257 범어센트럴푸르지오,2023-11-22
1209,대구계산,대구광역시 중구 계산동2가 180,2017-04-27
1155,대구중앙로역,대구광역시 중구 남일동 36-1 미도빌딩 103호,2016-12-23
837,대구공평DT,대구광역시 중구 동인동2가 25-1 1~2층,2014-09-29
182,반월당,대구광역시 중구 덕산동 53-3 동아쇼핑(동아쇼핑센터건물),2002-04-27
520,동성로광장,"대구광역시 중구 동성로3가 91-16,18번지",2012-05-25
511,동성로로데오,대구광역시 중구 삼덕동1가 25-1,2012-04-27
2415,대구역,대구광역시 중구 북성로1가 6-1 대구스테이션센터 1층,2025-05-30
2047,대구종로고택,"대구광역시 중구 종로2가 58,58-2",2022-10-20
2482,대구동성로SK리더스,대구광역시 중구 삼덕동2가 328 동성로 SK 리더스뷰 상가 101~104호,2025-11-28
1745,대구반월삼성,대구광역시 중구 덕산동 110 삼성생명,2020-12-18
1703,대구228중앙공원,대구광역시 중구 동성로2가 66-1 BL타워,2020-09-18
1346,대구칠성DT,대구광역시 북구 칠성동2가 371-5,2018-02-27
1162,대구유통단지,대구광역시 북구 산격동 167,2016-12-29
1061,대구칠곡대로DT,대구광역시 북구 태전동 1049-2,2016-04-28
884,대구동천,대구광역시 북구 동천동 908-2 1~3층,2015-01-20
759,대구침산DT,대구광역시 북구 침산동 245-1,2014-03-31
656,대구칠곡,대구광역시 북구 구암동 769-1 태을빌딩,2013-08-29
512,경북대,대구광역시 북구 산격동 1399-1,2012-04-30
2167,대구도남,대구광역시 북구 국우동 0 도남지구 23B-2L,2023-09-07
1984,대구복현DT,대구광역시 북구 복현동 401-1,2022-06-16
1974,대구칠곡읍내DT,"대구광역시 북구 읍내동 306-8, 12",2022-05-09
1822,대구칠성이마트,대구광역시 북구 칠성동2가 20-1 스펙트럼시티,2021-07-08
2336,칠곡경북대학교병원,대구광역시 북구 학정동 474 칠곡경북대학교병원,2024-10-18
2069,대구금호,대구광역시 북구 사수동 953,2022-12-15
2251,대구태전DT,"대구광역시 북구 태전동 838, 838-3, 839-4, 840-3, 841-1",2024-04-11
1248,대구테크노폴리스,대구광역시 달성군 유가면 봉리 607-1,2017-07-28
984,대구죽곡,대구광역시 달성군 다사읍 매곡리 1546-7,2015-10-13
2152,대구현풍DT,대구광역시 달성군 현풍읍 원교리 120-4,2023-07-06
2203,대구국가산단DT,대구광역시 달성군 구지면 응암리 1259-1,2023-10-27
1290,대전한남대DT,"대전광역시 대덕구 중리동 231-10, 231-11",2017-11-09
1011,대전IC DT,대전광역시 대덕구 비래동 555-15,2015-12-09
1054,대전신탄진DT,대전광역시 대덕구 석봉동 309-10,2016-04-28
682,대전송촌,대전광역시 대덕구 송촌동 459-1번지 1층,2013-10-29
1871,신탄진금강DT,"대전광역시 대덕구 신탄진동 116-1, 457-7",2021-10-07
1574,대전터미널DT,대전광역시 동구 성남동 502-2,2019-11-22
1291,대전판암DT,대전광역시 동구 판암동 450,2017-11-24
502,대전가오,대전광역시 동구 가오동 604번지,2012-04-13
2033,대전신흥역DT,대전광역시 동구 판암동 600,2022-09-16
2153,대전용운,"대전광역시 동구 용운동 251, 510-115, 510-116, 250",2023-07-14
1887,대전용전DT,"대전광역시 동구 용전동 13-1, 31",2021-11-19
2377,대전복합터미널,대전광역시 동구 용전동 63-3 대전복합터미널(서관) 105호,2025-01-23
1388,대전정부청사역,대전광역시 서구 둔산동 948 삼성생명,2018-06-28
1395,대전건양대병원,대전광역시 서구 관저동 1896 건양 타워,2018-07-30
1361,대전탄방역,대전광역시 서구 탄방동 673 주안빌딩,2018-04-26
1331,대전복수,대전광역시 서구 복수동 610,2018-01-18
1237,대전둔산남로,대전광역시 서구 탄방동 724,2017-06-22
1082,대전둔산로,대전광역시 서구 둔산동 996,2016-06-24
1081,대전법원,대전광역시 서구 둔산동 1397 PJ빌딩 103호,2016-06-22
